aX,aY,aZ,gX,gY,gZ
6.828,4.688,4.990,-0.092,-0.061,0.154
6.819,4.678,4.968,-0.059,-0.094,0.164
6.809,4.707,4.934,-0.019,-0.134,0.176
6.797,4.714,4.913,0.010,-0.163,0.186
6.804,4.726,4.875,0.037,-0.189,0.194
6.809,4.729,4.829,0.070,-0.222,0.205
6.809,4.719,4.805,0.089,-0.243,0.210
6.828,4.726,4.781,0.103,-0.264,0.211
6.864,4.764,4.755,0.111,-0.290,0.208
6.898,4.805,4.750,0.111,-0.306,0.202
6.950,4.808,4.714,0.106,-0.317,0.193
7.013,4.810,4.709,0.099,-0.327,0.179
7.056,4.810,4.697,0.093,-0.331,0.166
7.094,4.803,4.673,0.087,-0.331,0.152
7.147,4.776,4.645,0.079,-0.325,0.134
7.173,4.776,4.621,0.075,-0.319,0.120
7.214,4.767,4.611,0.071,-0.313,0.107
7.230,4.745,4.580,0.073,-0.302,0.092
7.223,4.729,4.568,0.076,-0.293,0.082
7.235,4.705,4.563,0.082,-0.285,0.074
7.250,4.681,4.537,0.090,-0.275,0.062
7.250,4.671,4.532,0.096,-0.266,0.056
7.250,4.681,4.513,0.102,-0.258,0.049
7.240,4.700,4.477,0.108,-0.249,0.038
7.223,4.726,4.451,0.111,-0.241,0.029
7.226,4.769,4.436,0.110,-0.234,0.019
7.195,4.815,4.422,0.105,-0.225,0.005
7.209,4.841,4.427,0.099,-0.218,-0.006
7.219,4.879,4.446,0.090,-0.211,-0.016
7.216,4.915,4.439,0.073,-0.203,-0.028

3.400,-17.138,0.170,-0.586,0.011,-0.015
3.268,-18.031,0.115,-0.687,-0.038,-0.127
3.208,-19.113,0.103,-0.826,-0.115,-0.304
3.237,-19.778,0.077,-0.925,-0.173,-0.459
3.361,-20.387,-0.002,-1.024,-0.225,-0.638
3.606,-21.172,-0.328,-1.142,-0.274,-0.917
3.816,-21.804,-0.608,-1.211,-0.278,-1.155
4.087,-22.673,-0.939,-1.283,-0.249,-1.504
4.209,-23.305,-1.077,-1.308,-0.204,-1.782
4.324,-23.863,-1.123,-1.300,-0.134,-2.070
4.413,-24.481,-1.156,-1.230,-0.009,-2.461
