aX,aY,aZ,gX,gY,gZ
6.357,4.855,-14.626,0.094,-2.063,-0.587
6.460,4.920,-14.600,0.021,-2.038,-0.574
6.574,4.975,-14.585,-0.064,-1.978,-0.556
6.622,4.975,-14.535,-0.099,-1.885,-0.531
6.349,4.717,-13.611,-0.139,-1.237,-0.353
6.280,4.662,-13.391,-0.173,-1.138,-0.331
6.203,4.611,-13.221,-0.213,-1.051,-0.314
6.086,4.535,-12.972,-0.262,-0.937,-0.293
5.966,4.472,-12.787,-0.290,-0.846,-0.277
5.806,4.396,-12.514,-0.319,-0.719,-0.253
5.667,4.350,-12.301,-0.340,-0.627,-0.237
5.507,4.310,-12.096,-0.362,-0.548,-0.223
5.277,4.228,-11.878,-0.389,-0.472,-0.212
5.090,4.161,-11.772,-0.403,-0.434,-0.207
4.920,4.085,-11.708,-0.412,-0.407,-0.204
4.719,3.984,-11.609,-0.412,-0.376,-0.199
4.592,3.915,-11.528,-0.401,-0.355,-0.192
4.448,3.850,-11.428,-0.374,-0.332,-0.181
4.353,3.821,-11.356,-0.345,-0.319,-0.170
4.288,3.788,-11.281,-0.310,-0.312,-0.157
4.247,3.771,-11.164,-0.255,-0.308,-0.138
4.226,3.752,-11.107,-0.208,-0.304,-0.120
4.235,3.728,-11.016,-0.143,-0.293,-0.093
