aX,aY,aZ,gX,gY,gZ
9.974,12.057,6.905,-0.543,-1.213,0.382
10.183,11.691,6.768,-0.515,-1.106,0.418
10.649,10.070,5.923,-0.416,-0.842,0.593
10.786,9.914,5.868,-0.432,-0.840,0.631
10.977,9.814,5.871,-0.451,-0.848,0.666
11.147,9.742,5.868,-0.489,-0.786,0.716
11.205,9.658,5.681,-0.536,-0.770,0.754
11.231,9.596,5.648,-0.603,-0.795,0.794
11.298,9.364,5.562,-0.686,-0.798,0.851
11.368,9.131,5.567,-0.739,-0.776,0.896
11.497,8.689,5.488,-0.783,-0.708,0.958
11.559,8.253,5.370,-0.801,-0.643,1.009
11.571,7.772,5.176,-0.808,-0.609,1.057
11.617,7.250,4.966,-0.799,-0.610,1.120
11.648,6.840,4.798,-0.771,-0.632,1.161
11.641,6.455,4.645,-0.730,-0.661,1.199
11.609,5.914,4.475,-0.649,-0.709,1.255
11.571,5.538,4.377,-0.569,-0.724,1.306
11.530,5.186,4.245,-0.481,-0.729,1.364
11.425,4.741,3.984,-0.354,-0.750,1.457
11.346,4.463,3.792,-0.261,-0.801,1.532
11.246,4.219,3.598,-0.164,-0.859,1.605
11.183,4.123,3.395,-0.059,-0.931,1.714
11.140,3.771,3.349,0.002,-0.938,1.787
11.052,3.218,3.373,0.064,-0.896,1.865
11.025,2.641,3.469,0.121,-0.768,1.955
11.018,2.315,3.433,0.136,-0.625,1.998
10.999,2.102,3.278,0.121,-0.501,2.019
10.939,2.052,3.084,0.051,-0.386,2.010
10.862,2.052,2.892,-0.025,-0.363,1.984
10.714,2.116,2.744,-0.103,-0.400,1.946
10.479,2.145,2.693,-0.195,-0.467,1.903
10.295,2.150,2.713,-0.248,-0.448,1.886
10.104,2.121,2.753,-0.282,-0.349,1.888
9.809,2.071,2.703,-0.310,-0.183,1.908
