aX,aY,aZ,gX,gY,gZ
0.836,2.804,9.064,0.018,-0.545,0.021
0.898,2.849,9.026,-0.007,-0.550,0.012
0.953,2.887,8.985,-0.030,-0.556,0.003
1.044,2.950,8.942,-0.055,-0.563,-0.011
0.994,2.971,8.866,-0.096,-0.572,-0.015
1.178,3.237,8.784,-0.136,-0.569,-0.021
1.216,3.302,8.777,-0.199,-0.558,-0.054
1.190,3.263,8.782,-0.234,-0.551,-0.070
1.185,3.199,8.796,-0.260,-0.549,-0.074
1.250,3.213,8.799,-0.283,-0.541,-0.072
1.286,3.175,8.792,-0.294,-0.537,-0.059

21.311,-6.191,-2.160,1.125,2.187,-0.841
23.094,-7.163,-3.244,1.367,2.833,-1.077
25.043,-8.418,-4.791,1.753,3.899,-1.467
25.788,-9.323,-6.316,2.148,4.914,-1.831
26.049,-10.178,-8.502,2.686,6.142,-2.249
25.599,-10.963,-12.213,3.519,8.063,-2.917
24.009,-11.143,-15.172,4.143,8.731,-3.515
20.042,-11.133,-19.240,4.923,8.731,-4.409
15.938,-10.975,-22.345,5.419,8.731,-5.123
11.181,-10.429,-25.125,5.811,8.731,-5.847
4.209,-8.933,-28.106,6.155,8.731,-6.765
-0.917,-7.484,-29.609,6.215,8.731,-7.379
-5.665,-5.938,-30.507,6.088,8.731,-7.882
-10.108,-3.445,-30.605,5.596,8.731,-8.345
-12.043,-1.286,-29.935,4.959,8.731,-8.547
-13.245,0.814,-28.541,4.143,8.731,-8.641
-13.781,3.280,-25.458,2.932,8.731,-8.625
-13.487,4.767,-22.570,2.004,8.731,-8.539
-13.115,5.830,-19.606,1.093,8.731,-8.410
-12.847,7.075,-15.490,-0.100,8.731,-8.225
-13.185,7.286,-12.663,-0.995,8.731,-8.012
-13.582,6.891,-9.151,-1.817,8.731,-7.783
-14.612,5.420,-3.266,-2.614,8.731,-7.468
-15.459,3.558,1.245,-2.949,8.731,-7.162
-17.052,1.525,6.230,-3.021,8.731,-6.792
-19.364,-0.464,13.082,-2.767,8.731,-6.165
-21.344,-1.267,18.471,-2.366,8.731,-5.607
-24.011,-1.046,25.589,-1.583,8.731,-4.745
-26.145,-0.014,30.337,-0.874,8.731,-3.984
-31.005,12.407,34.888,1.014,4.040,-0.088
-30.981,15.718,31.728,0.758,1.801,0.957
-30.126,17.063,29.032,0.346,0.282,1.610
-28.510,16.621,26.166,-0.194,-1.062,2.131
-26.207,13.834,22.417,-0.889,-2.607,2.594
-24.512,11.059,19.652,-1.277,-3.591,2.802
-22.865,8.282,17.219,-1.534,-4.399,2.907
-20.681,4.922,14.578,-1.653,-5.244,2.951
-19.199,2.895,13.063,-1.604,-5.712,2.954
-17.813,1.487,11.832,-1.464,-6.067,2.965
-16.391,0.725,10.609,-1.209,-6.401,3.013
-15.505,1.025,9.969,-1.031,-6.566,3.082
-14.681,1.767,9.560,-0.911,-6.680,3.165
-13.791,2.703,9.333,-0.864,-6.780,3.337
-13.199,3.587,9.579,-0.908,-6.846,3.505
-12.752,4.204,9.931,-1.015,-6.923,3.689
-12.421,4.140,10.678,-1.200,-7.090,3.913
-12.546,3.728,11.277,-1.306,-7.307,4.066
-12.392,3.223,11.794,-1.374,-7.586,4.198
-11.911,2.523,12.522,-1.381,-8.036,4.250
-11.609,2.006,12.878,-1.324,-8.466,4.222
-11.049,1.475,12.828,-1.183,-8.731,4.140
-10.391,1.413,12.407,-1.059,-8.731,4.043
-9.790,1.535,11.629,-0.952,-8.731,3.928
-8.985,1.918,10.032,-0.871,-8.731,3.784
-8.317,2.298,8.600,-0.873,-8.731,3.692
-7.501,2.691,7.089,-0.930,-8.731,3.605
-6.306,3.053,5.167,-1.090,-8.731,3.473
-5.332,3.206,3.778,-1.256,-8.731,3.368
-4.266,3.254,2.512,-1.445,-8.731,3.236
-2.969,2.933,1.030,-1.720,-8.731,3.020
-2.176,2.476,0.062,-1.929,-8.731,2.856
-1.410,2.047,-0.757,-2.125,-8.731,2.707
-0.292,1.530,-1.695,-2.365,-8.731,2.508
0.496,1.010,-2.188,-2.535,-8.731,2.365
1.156,0.467,-2.600,-2.679,-8.731,2.236
2.030,-0.220,-2.945,-2.816,-8.731,2.092
5.581,-2.236,-3.531,-2.632,-8.731,1.771
6.785,-2.828,-3.460,-2.405,-8.731,1.654
7.803,-3.189,-3.354,-2.210,-8.731,1.568
8.545,-3.524,-3.208,-2.016,-8.731,1.499
9.773,-3.778,-3.170,-1.737,-8.731,1.430
